cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
115477,Posta de Salud Rural San José de Marchigue,Posta de Salud Rural (PSR),Pichidegua,06113,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,rural,134,0,,-0.708,0.708,7.7,Baja,-34.2956,-71.43905
200233,Centro Comunitario de Salud Familiar Villa Francia,Centro Comunitario de Salud Familiar (CECOSF),Maule,07105,Maule,Servicio de Salud Del Maule,mixto,643,0,,-0.698,0.698,7.7,Baja,-35.4596,-71.6633
129448,Posta de Salud Rural Contraco,Posta de Salud Rural (PSR),Lonquimay,09205,La Araucanía,Servicio de Salud Araucanía Norte,rural,10,1,,-1.442,1.442,7.7,Baja,-38.14474,-71.33622
200490,Posta de Salud Rural Chamilco,Posta de Salud Rural (PSR),San Juan de la Costa,10306,Los Lagos,Servicio de Salud Osorno,rural,53,0,,-0.867,0.867,7.7,Baja,-40.4607,-73.3415
117431,Posta de Salud Rural Gral. Cruz,Posta de Salud Rural (PSR),Pemuco,16105,Ñuble,Servicio de Salud Ñuble,rural,3,0,,-2.499,2.499,7.7,Baja,-36.937433,-72.352542
105449,Posta de Salud Rural Tunga Norte,Posta de Salud Rural (PSR),Illapel,04201,Coquimbo,Servicio de Salud Coquimbo,mixto,86,2,,-0.999,0.999,7.6,Baja,-31.62899,-71.36324
105317,Centro de Salud Familiar Jorge Jordán Domic,Centro de Salud Familiar (CESFAM),Ovalle,04301,Coquimbo,Servicio de Salud Coquimbo,mixto,5861,6,0.014624515562922,-0.512,0.512,7.6,Baja,-30.59011,-71.19274
133556,Posta de Salud Rural Cucao,Posta de Salud Rural (PSR),Chonchi,10203,Los Lagos,Servicio de Salud Chiloé,rural,6,0,,-1.751,1.751,7.6,Baja,-42.636638,-74.108388
117472,Posta de Salud Rural Chancal,Posta de Salud Rural (PSR),Quillón,16107,Ñuble,Servicio de Salud Ñuble,rural,43,0,,-0.904,0.904,7.6,Baja,-36.918655,-72.554337
105488,Posta de Salud Rural Espíritu Santo,Posta de Salud Rural (PSR),Canela,04202,Coquimbo,Servicio de Salud Coquimbo,rural,8,0,,-1.526,1.526,7.5,Baja,-31.19752,-71.42111
116526,Posta de Salud Rural Santa Delfina,Posta de Salud Rural (PSR),Retiro,07405,Maule,Servicio de Salud Del Maule,rural,48,0,,-0.869,0.869,7.5,Baja,-36.1431,-71.65764
