serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro Comunitario de Salud Mental  (COSAM),Secundario,30,360,77,1.4,109,78.6
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Hospital,Terciario,15,180,51,2.5,126,71.7
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Hospital,Primario,10,120,27,2.2,59,77.5
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,52,3,154,13.3
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro de Referencia de Salud (CRS),Secundario,2,24,19,4.5,86,20.8
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Consultorio General Rural (CGR),Primario,2,24,3,1.7,5,87.5
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Consultorio General Urbano (CGU),Primario,2,24,6,1.5,9,75
A,ingresos_sm,05901803,Ingreso programa SM por Demencias - Avanzado,Centro de Salud Mental,Secundario,2,24,20,2.9,57,16.7
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Centro de Salud Familiar (CESFAM),Primario,93,1116,573,10.6,6066,48.7
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Centro Comunitario de Salud Familiar (CECOSF),Primario,20,240,58,2.1,120,75.8
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Hospital,"",11,132,49,7.1,346,62.9
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Posta de Salud Rural (PSR),Primario,6,72,13,1.8,23,81.9
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,4,48,30,5.6,168,37.5
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Hospital,Primario,3,36,3,2,6,91.7
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Hospital,Terciario,2,24,22,64.5,1420,8.3
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Consultorio General Urbano (CGU),Primario,2,24,13,2.4,31,45.8
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Consultorio General Rural (CGR),Primario,1,12,1,1,1,91.7
